date,net_sales,gross_total,vat,discount,quantity,line_items,transactions,customers,products,families,classes,return_line_share,baseline28_daily,future7_sales,future_ratio,target,mean7,recent7_28,simple_risk
2023-09-29,4475.66,5146.99,671.3299999999999,-2041.72,5.0,5.0,5.0,1.0,4.0,2.0,4.0,0.0,31932.802857142855,313196.18,1.4011394999910973,0.0,41855.37142857142,1.3107327789489374,-1.3107327789489374
2023-09-30,151752.49,174515.46,22762.97,-42922.28,127.0,91.0,60.0,6.0,62.0,4.0,16.0,0.02197802197802198,36657.908214285715,179304.49,0.6987558317055013,1.0,61771.38428571428,1.6850766258845549,-1.6850766258845549
2023-10-01,13772.19,15838.02,2065.83,-3392.0099999999998,11.0,11.0,10.0,3.0,10.0,3.0,6.0,0.0,35987.50607142857,214805.81999999998,0.8526999801925303,0.0,57801.14142857142,1.6061446801522394,-1.6061446801522394
2023-10-02,69931.8,80421.55,10489.75,-14127.31,47.0,36.0,21.0,5.0,30.0,4.0,13.0,0.027777777777777776,37330.42357142857,155516.75999999998,0.5951360277895128,1.0,56710.060000000005,1.519137865968495,-1.519137865968495
2023-10-03,21009.47,24160.92,3151.4500000000003,-2630.56,16.0,16.0,13.0,4.0,12.0,2.0,6.0,0.0,36599.52821428572,160758.16999999998,0.6274794779507257,1.0,49862.32571428571,1.3623761875384828,-1.3623761875384828
2023-10-04,31846.010000000002,36622.94,4776.93,-14861.17,17.0,17.0,15.0,3.0,17.0,3.0,10.0,0.0,36661.41892857143,148233.32,0.5776150839302426,1.0,48869.15714285714,1.3329859719306125,-1.3329859719306125
2023-10-05,14645.939999999999,16842.829999999998,2196.89,-17435.23,7.0,6.0,6.0,3.0,6.0,3.0,4.0,0.0,36339.59285714286,151214.33000000002,0.594449344211931,1.0,43919.08,1.2085738046833217,-1.2085738046833217
2023-10-06,10238.28,11774.01,1535.73,-347.84,12.0,12.0,6.0,3.0,8.0,2.0,3.0,0.0,36280.03928571429,155212.61000000002,0.6111688530814514,1.0,44742.31142857143,1.2332487039557665,-1.2332487039557665
2023-10-07,17860.8,20539.93,2679.13,-1267.09,19.0,19.0,10.0,3.0,17.0,3.0,6.0,0.10526315789473684,36565.6275,152212.62,0.5946748760157335,1.0,25614.92714285714,0.7005192825654951,-0.7005192825654951
2023-10-08,49273.52,56664.51,7390.99,-17566.14,31.0,37.0,20.0,4.0,27.0,4.0,12.0,0.13513513513513514,36162.24714285714,131720.03,0.5203533693169274,1.0,30686.545714285716,0.8485796137905939,-0.8485796137905939
2023-10-09,10642.74,12239.14,1596.4,-2743.65,6.0,10.0,7.0,3.0,8.0,3.0,5.0,0.2,35208.19642857143,232025.06,0.941440928679858,0.0,22216.68,0.6310087494845712,-0.6310087494845712
2023-10-10,26250.88,30188.56,3937.68,-1460.87,17.0,17.0,11.0,6.0,17.0,3.0,9.0,0.0,35720.931071428575,231120.34999999998,0.9243094137473838,0.0,22965.452857142856,0.6429130531681969,-0.6429130531681969
2023-10-11,19321.16,22219.34,2898.18,2494.21,16.0,13.0,8.0,2.0,10.0,3.0,5.0,0.15384615384615385,36212.33928571428,224489.63,0.8856082698724933,0.0,21176.18857142857,0.5847782548470307,-0.5847782548470307
2023-10-12,17626.95,20271.04,2644.09,-1408.72,21.0,19.0,13.0,3.0,19.0,4.0,10.0,0.0,36678.891071428574,228874.66999999998,0.8914222996790825,0.0,21602.047142857144,0.5889503884070338,-0.5889503884070338
2023-10-13,14236.56,16372.04,2135.48,-1408.69,12.0,12.0,8.0,3.0,10.0,3.0,6.0,0.0,37187.33964285714,215202.46,0.8267116945359024,1.0,22173.230000000003,0.5962574955065113,-0.5962574955065113
2023-10-14,14860.81,17089.93,2229.12,-4391.0599999999995,10.0,10.0,10.0,2.0,10.0,3.0,7.0,0.0,37440.971071428576,210510.77,0.8032101273624818,1.0,21744.66,0.5807717956491112,-0.5807717956491112
2023-10-15,28780.93,33098.11,4317.18,-4033.94,25.0,18.0,11.0,4.0,17.0,3.0,9.0,0.0,37822.618214285714,187046.69,0.7064808565841993,1.0,18817.147142857142,0.49751043241501064,-0.49751043241501064
2023-10-16,110947.77,127589.95,16642.18,-77315.1,241.0,22.0,16.0,3.0,21.0,4.0,9.0,0.09090909090909091,41067.77428571428,83107.18,0.2890941740138131,1.0,33146.43714285714,0.8071154991807619,-0.8071154991807619
2023-10-17,25346.17,29148.11,3801.94,-4031.2700000000004,25.0,20.0,13.0,4.0,15.0,4.0,7.0,0.0,41583.32964285714,83750.4,0.28771969344205695,1.0,33017.19285714286,0.7940007002978006,-0.7940007002978006
2023-10-18,12690.44,14594.0,1903.56,-1111.22,9.0,9.0,7.0,4.0,9.0,4.0,7.0,0.0,39120.22285714286,87713.9,0.3203089406881848,1.0,32069.947142857145,0.8197792548362638,-0.8197792548362638
2023-10-19,22011.989999999998,25313.800000000003,3301.81,-16112.109999999999,13.0,10.0,8.0,4.0,9.0,4.0,5.0,0.0,35837.87607142857,99958.22,0.39845401791737645,1.0,32696.381428571425,0.9123414948866997,-0.9123414948866997
2023-10-20,564.35,649.01,84.66,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,34878.53035714286,103721.7,0.42482827007220003,1.0,30743.20857142857,0.8814364669792515,-0.8814364669792515
2023-10-21,10169.119999999999,11694.49,1525.37,-5216.96,7.0,7.0,6.0,3.0,7.0,3.0,5.0,0.0,34800.98464285715,110397.47,0.4531787621731598,1.0,30072.967142857142,0.8641412721932733,-0.8641412721932733
2023-10-22,5316.85,6114.37,797.5200000000001,3365.6,6.0,10.0,10.0,5.0,7.0,4.0,4.0,0.2,33506.4475,150433.3,0.64138316748057,1.0,26720.955714285716,0.7974869825959828,-0.7974869825959828
2023-10-23,7008.26,8059.459999999999,1051.2,-2551.73,5.0,9.0,8.0,3.0,9.0,3.0,7.0,0.2222222222222222,30986.407857142858,226550.2,1.0444680917815325,0.0,11872.454285714284,0.3831503909859463,-0.3831503909859463
2023-10-24,25989.39,29887.78,3898.3900000000003,-3908.04,22.0,14.0,12.0,3.0,14.0,4.0,9.0,0.0,29452.328571428574,237290.6,1.150966962107774,0.0,11964.342857142856,0.4062273999193854,-0.4062273999193854
2023-10-25,16653.94,19152.04,2498.1,-1600.4400000000003,11.0,13.0,7.0,4.0,13.0,4.0,8.0,0.07692307692307693,28661.462499999998,,,,12530.557142857142,0.4371918265809759,-0.4371918265809759
2023-10-26,34256.31,39394.75,5138.44,-1173.9099999999999,9.0,8.0,7.0,3.0,5.0,4.0,4.0,0.0,28124.31357142857,,,,14279.745714285715,0.5077366840623082,-0.5077366840623082
2023-10-27,4327.83,4977.0,649.1700000000001,-869.56,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,28119.033928571433,,,,14817.385714285714,0.5269521617252269,-0.5269521617252269
2023-10-28,16844.89,19371.62,2526.73,-1616.64,9.0,9.0,8.0,3.0,9.0,5.0,9.0,0.0,23300.905357142856,,,,15771.067142857142,0.6768435346664565,-0.6768435346664565
2023-10-29,45352.68,52155.55,6802.87,-7563.96,25.0,22.0,17.0,5.0,21.0,4.0,9.0,0.0,24428.78,,,,21490.471428571425,0.8797193895303583,-0.8797193895303583
2023-10-30,83125.16,95593.91,12468.75,-5568.19,39.0,22.0,16.0,8.0,17.0,4.0,11.0,0.045454545454545456,24899.971428571425,,,,32364.314285714285,1.2997731494815257,-1.2997731494815257
2023-10-31,36729.79,42239.31,5509.5199999999995,-5400.34,24.0,26.0,18.0,4.0,21.0,5.0,12.0,0.11538461538461539,25461.411428571428,,,,33898.65714285714,1.3313738414681084,-1.3313738414681084
